annotator,model,dataset,item_id,stratum,decision,model_answer,corrected_answer,note
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,5135,comparison,accept,hành tinh b,,"Chu kỳ b 1,209 ngày < c 3,648 ngày → b ngắn hơn, đúng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,1435,comparison,reject,10,Liverpool,"Hỏi 'đội nào' → Liverpool (10–0 một trận; City 10–0 chỉ là tổng 2 lượt, trận đơn tốt nhất 9–0); model trả con số 10."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,6077,add_sub,accept,"11,5 cm",,"Quả đại ~8 cm + mào lông đầu hạt ~3,5 cm = 11,5 cm."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,3964,selection,accept,351,,Đoạn nêu Pháp tăng 351 ca tử vong so với một ngày trước.
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,980,comparison,accept,ngành xây dựng,,"Xây dựng đạt 99,09% — thấp nhất trong 5 ngành."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,3051,count,accept,4,,"4 mốc trữ lượng chứng minh: 100 (10/2007), 172 (2/2008), 211,17 (2009), 300,9 (2015)."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,9209,comparison,accept,Vào tháng 10 năm 2007,,100 tỷ thùng (10/2007) là mức thấp nhất được nêu.
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,1039,add_sub,accept,"50,25%",,"Đoạn nêu đúng tăng 50,25% so với 2010-2015."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,8758,comparison,accept,tiếng Anh,,"90,5% nói tiếng Anh — ngôn ngữ đầu tiên phổ biến nhất."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,301,comparison,accept,thấp hơn,,"Mỹ bản xứ 0,17% < châu Á 0,31% (kể cả cộng TTBD 0,01%) → thấp hơn, đúng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,30,count,reject,12,13,Năm 1301 có 13 chức vụ được nêu; 'thượng thư và viên ngoại lang' là 2 chức — model gộp còn 12.
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,1689,count,reject,12,13,"Đếm chức vụ năm 1301: thượng thư, viên ngoại lang, các thiết, chủ sự, Mông Cổ tất đồ xích, lệnh sử, Hồi Hồi lệnh sử, khiếp lý mã xích, tri ấn, tấu sai, Mông Cổ thư tả, điển lại, ti kế quan = 13."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,6105,comparison,accept,bọ nhảy,,"Bọ nhảy 113 < ve giáp 145 → bọ nhảy ít hơn, đúng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,316,comparison,reject,ít hơn,nhiều hơn,"Số hộ gia đình 24.691 lớn hơn số gia đình 16.837, nên trả lời phải là 'nhiều hơn', model đảo ngược chiều so sánh."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,4365,add_sub,accept,"1,2",,"Tỷ lệ người châu Á 0,5% nhỏ hơn tỷ lệ hai chủng tộc trở lên 1,7% đúng 1,2 điểm %, khớp đoạn văn."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,6314,add_sub,reject,"19,5%",khoảng 12.968 người,"Hỏi chênh lệch SỐ NGƯỜI (19,5% × 66.501); model trả % — sai dạng đáp án."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,9893,comparison,accept,người da đen hoặc người Mỹ gốc Phi,,"Người da đen hoặc Mỹ gốc Phi 5,7% cao hơn người châu Á 0,5%, chiều so sánh và thực thể trả lời đều đúng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,357,selection,accept,"4,8%",,"Đoạn văn nêu rõ người Cơ Đốc giáo phi Ả Rập và người không tôn giáo chiếm 4,8% dân số, model trích đúng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,3008,add_sub,reject,34,"31,4%","Kit 24-105 giá 4.599 USD so với thân máy 3.499 USD tăng (4.599−3.499)/3.499×100 ≈ 31,4%, không phải 34%."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,273,count,accept,4,,"Đoạn văn liệt kê đúng 4 nhóm tù nhân theo tỷ lệ: trước án tù 21,5%, nữ 8,7%, chưa thành niên 0,4%, người nước ngoài 5,9%."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,7552,count,accept,0,,"Mọi sự kiện 'cải nhiệm' trong đoạn văn đều từ 20/2/511 trở đi; trước năm 511 chỉ là phong, thụ chức, tiến hiệu nên đáp án 0 là đúng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,6890,add_sub,accept,19.425,,"10.221 đơn vị nhà ở cộng 9.204 hộ gia đình bằng 19.425, model tính đúng phép cộng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,1512,count,accept,2,,"Hợp phần 1 đầu tư theo hình thức BOT được chia làm 2 dự án, nên trước khi chuyển đổi có 2 dự án BOT."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,8213,add_sub,reject,667.612,76,Hỏi số nhà truyền giáo: 13+20+8+20+15 = 76 (Cagayan không nêu); model lấy nhầm tổng dân số 667.612.
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,726,selection,accept,nhỏ hơn,,"Diện tích xã Sơn Bình 3.571,53 ha nhỏ hơn diện tích còn lại của Sơn Kiên 5.310,60 ha, chiều so sánh đúng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,8716,count,accept,5,,"Chia Sóc Sơn thành 4 xã (Sóc Sơn, Sơn Hưng, Sơn Kiên, Sơn Thái) rồi lập thêm xã Sơn Bình từ Sơn Kiên, tổng 5 xã được tạo ra."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,713,comparison,reject,1954,1952,"Viện trợ ít nhất là 524 tỉ francs năm 1952, nhỏ hơn 575 tỉ năm 1954 và 585 tỉ năm 1953; model chọn sai năm."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,6593,add_sub,accept,95.000,,"Quân số tăng từ 135.000 (1952) lên 230.000 (1954), chênh lệch đúng 95.000 người."
