id,question,prompt,raw_response,answer
28-0021,Một nền kinh tế trong trạng thái toàn dụng nhân công có nghĩa là:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Một nền kinh tế trong trạng thái toàn dụng nhân công có nghĩa là:

A. Không còn lạm phát nhưng có thể còn thất nghiệp
B. Không còn thất nghiệp nhưng có thể còn lạm phát
C. Không còn thất nghiệp và không còn lạm phát
D. Vẫn còn một tỷ lệ lạm phát và tỷ lệ thất nghiệp nhất định
Đáp án: ",B,B
28-0022,"Trong cơ chế tỷ giá hối đoái cố định, muốn triệt tiêu lượng dư cung ngoại tệ, NHTƯ  phải:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Trong cơ chế tỷ giá hối đoái cố định, muốn triệt tiêu lượng dư cung ngoại tệ, NHTƯ  phải:

A. Dùng ngoại tệ để mua nội tệ
B. Dùng nội tệ để mua ngoại tệ
C. Không can thiệp vào thị trường ngoại hối
D. Các lựa chọn đều sai
Đáp án: ",B,B
28-0023,Tỷ  giá thay đổi sẽ ảnh hưởng đến,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Tỷ  giá thay đổi sẽ ảnh hưởng đến

A. Cán cân thương mại
B. Cán cân thanh toán
C. Sản lượng quốc gia
D. Các lựa chọn đều đúng
Đáp án: ",D,D
28-0024,"Theo lý thuyết của Keynes, những chính sách nào sau đây thích hợp nhất nhằm giảm tỷ lệ  thất nghiệp:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Theo lý thuyết của Keynes, những chính sách nào sau đây thích hợp nhất nhằm giảm tỷ lệ  thất nghiệp:

A. Giảm thuế và gia tăng số mua hàng hóa của chính phủ
B. Tăng thuế và giảm số mua hàng hóa của chính phủ
C. Tăng thuế thu nhập và tăng số mua hàng hóa của chính phủ
D. Phá giá, giảm thuế và giảm số mua hàng hóa của chính phủ
Đáp án: ",A,A
28-0025,Chính sách nào của chính phủ sẽ làm kinh tế tăng trưởng nhiều nhất,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Chính sách nào của chính phủ sẽ làm kinh tế tăng trưởng nhiều nhất

A. Giảm thuế thu nhập từ tiết kiệm, cung cấp tín dụng thuế đầu tư, và giảm thâm hụt
B. Giảm thuế thu nhập từ tiết kiệm, cung cấp tín dụng thuế đầu tư, và tăng thâm hụt
C. Tăng thuế thu nhập từ tiết kiệm, cung cấp tín dụng thuế đầu tư, và giảm thâm hụt
D. Tăng thuế thu nhập từ tiết kiệm, cung cấp tín dụng thuế đầu tư, và tăng thâm hụt
Đáp án: ",B,B
28-0026,Nếu những người cho vay và đi vay thống nhất về một mức lãi suất danh nghĩa nào đó và lạm phát trong thực tế lại thấp hơn so với mức mà họ kỳ vọng thì:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nếu những người cho vay và đi vay thống nhất về một mức lãi suất danh nghĩa nào đó và lạm phát trong thực tế lại thấp hơn so với mức mà họ kỳ vọng thì:

A. Người đi vay sẽ được lợi và người cho vay bị thiệt
B. Người cho vay được lợi và người đi vay bị thiệt
C. Cả người đi vay và người cho vay đều không được lợi vì lãi suất danh nghĩa được cố định theo hợp đồng
D. Các lựa chọn đều không đúng
Đáp án: ",B,B
28-0027,"Hàm số tiêu dùng: C = 20 + 0,9 Y (Y:thu nhập). Tiết kiệm S ở mức thu nhập  khả dụng 100 là:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Hàm số tiêu dùng: C = 20 + 0,9 Y (Y:thu nhập). Tiết kiệm S ở mức thu nhập  khả dụng 100 là:

A. S = 10
B. S = 0
C. S = -10
D. Không thể tính được
Đáp án: ",C,C
28-0028,Tác động “hất ra” (hay còn gọi là tác động lấn át) của chính sách tài chính là do:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Tác động “hất ra” (hay còn gọi là tác động lấn át) của chính sách tài chính là do:

A. Tăng chi tiêu của chính phủ làm giảm lãi suất, dẫn tới tăng đầu tư, làm tăng hiệu lực kích thích tổng cầu
B. Tăng chi tiêu của chính phủ làm tăng lãi suất, dẫn tới giảm đầu tư, làm giảm hiệu lực kích thích tổng cầu
C. Giảm chi tiêu của chính phủ làm tăng lãi suất, dẫn tới giảm đầu tư, làm giảm hiệu lực kích thích tổng cầu
D. Giảm chi tiêu của chính phủ, làm giảm lãi suất, dẫn tới tăng đầu tư, làm tăng hiệu lực kích thích tổng cầu
Đáp án: ",B,B
28-0029,"Theo lý thuyết xác định sản lượng (được minh họa bằng đồ thị có đường 450), nếu tổng chi tiêu kế hoạch (tổng cầu dự kiến) lớn hơn GDP thực (hoặc sản lượng) thì:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Theo lý thuyết xác định sản lượng (được minh họa bằng đồ thị có đường 450), nếu tổng chi tiêu kế hoạch (tổng cầu dự kiến) lớn hơn GDP thực (hoặc sản lượng) thì:

A. Các doanh nghiệp sẽ giảm sản lượng để giải phóng thặng dư tồn kho so với mức tồn kho dự kiến
B. Các doanh nghiệp sẽ tăng hoặc giảm sản lượng tuỳ theo tình hình tồn kho thực tế là ít hơn hay nhiều hơn mức tồn kho dự kiến
C. Các doanh nghiệp sẽ không thay đổi sản lượng vì tồn kho thực tế đã bằng mức tồn kho dự kiến
D. Các doanh nghiệp sẽ tăng sản lượng để bổ sung tồn kho cho đủ mức tồn kho dự kiến
Đáp án: ",D,D
28-0030,Mở rộng tiền tệ (hoặc nới lỏng tiền tệ):,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Mở rộng tiền tệ (hoặc nới lỏng tiền tệ):

A. Là một chính sách do NHTƯ thực hiện để kích cầu bằng cách giảm thuế, tăng trợ cấp xã hội, hoặc tăng chi tiêu ngân sách
B. Là một chính sách do NHTƯ thực hiện để kích cầu bằng cách tăng lãi suất chiết khấu, tăng tỷ lệ dự trữ bắt buộc, hoặc bán ra chứng khoán nhà nước
C. Là một chính sách do NHTƯ thực hiện để kích cầu bằng cách hạ lãi suất chiết khấu, giảm tỷ lệ dự trữ bắt buộc, hoặc mua các chứng khoán nhà nước
D. Là một chính sách do NHTƯ thực hiện để kích cầu bằng cách phát hành trái phiếu chính phủ
Đáp án: ",C,C
28-0031,Sản  lượng tiềm năng (sản lượng toàn dụng) là mức sản lượng:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Sản  lượng tiềm năng (sản lượng toàn dụng) là mức sản lượng:

A. Mà tại đó nếu tăng tổng cầu thì lạm phát sẽ tăng nhanh
B. Mà tại đó nền kinh tế còn tỷ lệ thất nghiệp thấp nhất
C. Tối đa của nền kinh tế
D. Các lựa chọn đều đúng
Đáp án: ",A,A
28-0032,"Giả định lãi suất là 8%. Nếu phải lựa chọn giữa 100$ ngày hôm nay và 116$ ngày này hai năm sau, bạn sẽ chọn:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Giả định lãi suất là 8%. Nếu phải lựa chọn giữa 100$ ngày hôm nay và 116$ ngày này hai năm sau, bạn sẽ chọn:

A. 100$ ngày hôm nay
B. 116$ ngày này 2 năm sau
C. Không có gì khác biệt giữa hai phương án trên
D. Không chọn phương án nào
Đáp án: ",A,A
28-0033,Khoản  mục nào sau đây không được tính vào GDP của năm 1989? Doanh  thu của:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Khoản  mục nào sau đây không được tính vào GDP của năm 1989? Doanh  thu của:

A. Một chiếc xe Honda sản xuất năm 1989 ở Tennessee
B. Dịch vụ cắt tóc
C. Dịch vụ của nhà môi giới bất động sản
D. Một ngôi nhà được xây dựng năm 1988 và được bán lần đầu tiên trong năm 1989
E. Tất cả các lựa chọn đều được tính vào GDP năm 1989
Đáp án: ",D,D
28-0034,"Nếu một người thợ giày mua một miếng da trị giá 100$, một cuộn chỉ trị giá 50$, và sử dụng chúng để sản xuất và bán những đôi giày trị giá 500$ cho người tiêu dùng, giá trị đóng góp vào GDP là:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nếu một người thợ giày mua một miếng da trị giá 100$, một cuộn chỉ trị giá 50$, và sử dụng chúng để sản xuất và bán những đôi giày trị giá 500$ cho người tiêu dùng, giá trị đóng góp vào GDP là:

A. 50$
B. 100$
C. 500$
D. 600$
E. 650$
Đáp án: ",C,C
28-0035,Nếu GDP lớn hơn GNP của Việt Nam thì:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nếu GDP lớn hơn GNP của Việt Nam thì:

A. Người nước ngoài đang sản xuất ở Việt Nam nhiều hơn so với người Việt Nam đang sản xuất ở nước ngoài
B. Người VN đang sản xuất ở nước ngoài nhiều hơn so với người nước ngoài đang sản xuất ở VN
C. GDP thực tế lớn hơn GDP danh nghĩa
D. GNP thực tế lớn hơn GNP danh nghĩa
E. Giá trị hàng hóa trung gian lớn hơn giá trị hàng hóa cuối cùng
Đáp án: ",A,A
28-0036,Khoản chi tiêu 40.000$ mua một chiếc xe BMW được sản xuất tại Đức của bạn được tính vào GDP của Mỹ như thế nào:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Khoản chi tiêu 40.000$ mua một chiếc xe BMW được sản xuất tại Đức của bạn được tính vào GDP của Mỹ như thế nào:

A. Đầu tư tăng 40.000$ và xuất khẩu ròng tăng 40.000$
B. Tiêu dùng tăng 40.000$ và xuất khẩu ròng giảm 40.000$
C. Xuất khẩu ròng giảm 40.000$
D. Xuất khẩu ròng tăng 40.000$
E. không  có tác động nào vì giao dịch này không  liên quan  đến sản xuất trong nước
Đáp án: ",B,B
28-0037,Lạm phát có thể được đo lường bằng tất cả các chỉ số sau đây trừ:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Lạm phát có thể được đo lường bằng tất cả các chỉ số sau đây trừ:

A. Chỉ số điều chỉnh GDP
B. Chỉ số giá tiêu dùng
C. Chỉ số giá sản xuất
D. Chỉ số giá hàng hóa thành phẩm
E. Tất cả các lựa chọn đều được sử dụng  để đo lường  lạm phát
Đáp án: ",A,A
28-0038,CPI sẽ bị ảnh hưởng nhiều nhất bởi sự gia tăng 10% giá cả của mặt hàng tiêu dùng nào sau đây:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
CPI sẽ bị ảnh hưởng nhiều nhất bởi sự gia tăng 10% giá cả của mặt hàng tiêu dùng nào sau đây:

A. Nhà ở
B. Giao thông
C. Thực phẩm và đồ uống
D. Chăm sóc y tế
E. Tất cả các lựa chọn đều có cùng một tác động
Đáp án: ",A,A
28-0039,“Giỏ hàng hóa” được sử dụng để tính CPI bao gồm:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
“Giỏ hàng hóa” được sử dụng để tính CPI bao gồm:

A. Nguyên vật liệu thô được mua bởi các doanh nghiệp
B. Tất cả các sản phẩm hiện hành
C. Các sản phẩm được mua bởi người tiêu dùng điển hình
D. Tất cả các sản phẩm tiêu dùng
E. Các lựa chọn đều sai
Đáp án: ",C,C
28-0042,"Để thúc đẩy tăng trưởng, chính phủ không nên làm gì sau đây:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Để thúc đẩy tăng trưởng, chính phủ không nên làm gì sau đây:

A. Thúc đẩy thương mại tự do
B. Khuyến khích tiết kiệm và đầu tư
C. Kiểm soát sự gia tăng dân số
D. Khuyến khích nghiên cứu và triển khai công nghệ
E. quốc hữu hóa các ngành quan  trọng
Đáp án: ",E,E
28-0043,Thước đo hợp lý đối với mức sống của một nước là:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Thước đo hợp lý đối với mức sống của một nước là:

A. GDP thực bình quân đầu người
B. GDP thực
C. GDP danh nghĩa bình quân đầu người
D. GDP danh nghĩa
E. Tỷ lệ tăng trưởng của GDP danh nghĩa bình quân đầu người
Đáp án: ",A,A
28-0044,Nhiều nước Đông Á đang tăng trưởng rất nhanh vì:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nhiều nước Đông Á đang tăng trưởng rất nhanh vì:

A. Họ có nguồn tài nguyên dồi dào
B. Họ là các nước đế quốc và đã vơ vét được của cải từ chiến thắng trước đây trong chiến tranh
C. Họ đã dành một tỷ lệ rất lớn của GDP cho tiết kiệm và đầu tư
D. Họ đã luôn luôn giàu có và sẽ tiếp tục giàu có, điều này vẫn được biết đến như là “nước chảy chỗ trũng”
E. Không  có câu trả lời nào đúng
Đáp án: ",C,C
28-0045,Khi một nước có GDP bình quân rất nhỏ:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Khi một nước có GDP bình quân rất nhỏ:

A. Nước này phải chịu số mệnh nghèo mãi mãi
B. Nước này chắc hẳn là một nước nhỏ
C. Nước này có tiềm năng tăng trưởng tương đối nhanh nhờ “hiệu ứng bắt kịp”
D. Một sự tăng lên về tư bản có thể sẽ có ảnh hưởng tới sản lượng
E. Không  có câu trả lời đúng
Đáp án: ",C,C
28-0046,"Khi một nước giàu có,","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Khi một nước giàu có,

A. Nước này hầu như không thể nghèo đi một cách tương đối
B. Nước này sẽ khó có thể tăng trưởng nhanh chóng do quy luật lợi tức giảm dần đối với tư bản
C. Tư bản trở nên có năng suất hơn nhờ “hiệu ứng bắt kịp”
D. Nước này không cần vốn nhân lực nữa
E. Không  câu trả lời nào đúng
Đáp án: ",B,B
28-0047,"Nếu hai nước cùng khởi đầu với mức GDP bình quân đầu người như nhau, và một nước tăng trưởng với tốc độ 2%/năm  còn một nước tăng trưởng 4%/năm","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nếu hai nước cùng khởi đầu với mức GDP bình quân đầu người như nhau, và một nước tăng trưởng với tốc độ 2%/năm  còn một nước tăng trưởng 4%/năm

A. GDP bình quân của một nước sẽ luôn lớn hơn GDP bình quân của nước còn lại 2%
B. Mức sống của nước có tốc độ tăng trưởng 4% sẽ tăng dần khoảng cách với mức sống của nước tăng trưởng chậm hơn do tăng trưởng kép
C. Mức sống của hai nước sẽ gặp nhau do quy luật lợi suất giảm dần đối với tư bản
D. Năm sau, kinh tế của nước tăng trưởng 4% sẽ lớn gấp hai lần nước tăng trưởng 2%
Đáp án: ",B,B
28-0048,Chi phí cơ hội của tăng trưởng là:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Chi phí cơ hội của tăng trưởng là:

A. Sự giảm sút về đầu tư hiện tại
B. Sự giảm sút về tiết kiệm hiện tại
C. Sự giảm sút về tiêu dùng hiện tại
D. Sự giảm sút về thuế
Đáp án: ",C,C
28-0049,Sự gia tăng nhân tố nào sau đây không làm tăng năng suất của một quốc gia,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Sự gia tăng nhân tố nào sau đây không làm tăng năng suất của một quốc gia

A. Vốn nhân lực/ công nhân
B. Tư bản vật chất/ công nhân
C. Tài nguyên thiên nhiên/ công nhân
D. Lao động
E. Tri thức công nghệ
Đáp án: ",D,D
