dataset,item_id,stratum,gold_answer,raw_response,prediction,em,f1,exact_raw
squad,0,short-direct,New England Sports Ventures,New England Sports Ventures,New England Sports Ventures,1,1.000000,1
squad,5,short-direct,1916,1916,1916,1,1.000000,1
squad,24,short-direct,tổng hợp hạt nhân và phân rã phóng xạ,tổng hợp hạt nhân và phân rã phóng xạ,tổng hợp hạt nhân và phân rã phóng xạ,1,1.000000,1
squad,25,short-direct,giải Oscar,giải Oscar,giải Oscar,1,1.000000,1
squad,38,mid-direct,3 định luật,3 định luật,3 định luật,1,1.000000,1
squad,58,short-direct,Vietnam General Confederation of Labor,Vietnam General Confederation of Labor,Vietnam General Confederation of Labor,1,1.000000,1
squad,68,mid-direct,một chuỗi kết hợp các công đoạn khác nhau,một chuỗi kết hợp các công đoạn khác nhau,một chuỗi kết hợp các công đoạn khác nhau,1,1.000000,1
squad,74,short-direct,0.5 đến 1.2,từ 0.5 đến 1.2,từ 0.5 đến 1.2,0,0.880000,0
squad,83,long-direct,1999,1999,1999,1,1.000000,1
squad,90,short-infer,'Touring','Touring','Touring',1,1.000000,1
squad,92,short-direct,đầu thập niên 50,đầu thập niên 50,đầu thập niên 50,1,1.000000,1
squad,104,short-direct,1768,1768,1768,1,1.000000,1
squad,109,mid-direct,điểm ở mặt đất ngay phía trên chấn tiêu,điểm ở mặt đất ngay phía trên chấn tiêu,điểm ở mặt đất ngay phía trên chấn tiêu,1,1.000000,1
squad,118,short-infer,thông qua các lò phản ứng hạt nhân có kiểm soát,thông qua các lò phản ứng hạt nhân có kiểm soát,thông qua các lò phản ứng hạt nhân có kiểm soát,1,1.000000,1
squad,133,short-direct,2 tỉ người,khoảng 2 tỉ người,khoảng 2 tỉ người,0,0.740741,0
squad,145,mid-direct,"53rd Street, giữa Fifth và Sixth Avenue","53rd Street, giữa Fifth và Sixth Avenue","53rd Street, giữa Fifth và Sixth Avenue",1,1.000000,1
squad,151,mid-direct,Điện tiền chỉ huy sứ,Điện tiền chỉ huy sứ,Điện tiền chỉ huy sứ,1,1.000000,1
squad,162,short-direct,quá trình một nguyên tử hay phân tử tích một điện tích âm hay dương bằng cách nhận thêm hay mất đi electron để tạo thành các ion,một nguyên tử hay phân tử tích một điện tích âm hay dương bằng cách nhận thêm hay mất đi electron để tạo thành các ion,một nguyên tử hay phân tử tích một điện tích âm hay dương bằng cách nhận thêm hay mất đi electron để tạo thành các ion,0,0.959350,0
squad,173,short-direct,trạng thái cân bằng nhiệt động lực học với môi trường xung quanh,trạng thái cân bằng nhiệt động lực học,trạng thái cân bằng nhiệt động lực học,0,0.745098,0
squad,206,mid-infer,"do tỷ lệ tăng dân số hàng năm là 2,2%","do tỷ lệ tăng dân số hàng năm là 2,2%","do tỷ lệ tăng dân số hàng năm là 2,2%",1,1.000000,1
squad,221,long-direct,do có sự hiện diện của một số cơ sở giáo dục nổi tiếng trong thành phố,do có sự hiện diện của một số cơ sở giáo dục nổi tiếng trong thành phố,do có sự hiện diện của một số cơ sở giáo dục nổi tiếng trong thành phố,1,1.000000,1
squad,227,short-direct,"""bản Tuyên ngôn độc lập đầu tiên""",“bản Tuyên ngôn độc lập đầu tiên”,“bản Tuyên ngôn độc lập đầu tiên”,0,0.968750,0
squad,316,short-direct,bệnh viêm đặc hiệu,bệnh tự miễn khá điển hình,bệnh tự miễn khá điển hình,0,0.545455,0
squad,322,mid-direct,ba,ba tàu vận tải,ba tàu vận tải,0,0.250000,0
squad,332,long-direct,28 tháng 10 năm 1955,28 tháng 10 năm 1955,28 tháng 10 năm 1955,1,1.000000,1
squad,339,short-direct,1999,1999,1999,1,1.000000,1
squad,367,mid-direct,thành phần hóa học của Trái Đất,thành phần hóa học của Trái Đất,thành phần hóa học của Trái Đất,1,1.000000,1
squad,374,short-direct,Djokovic,Djokovic,Djokovic,1,1.000000,1
squad,394,short-direct,Düsseldorf,Düsseldorf,Düsseldorf,1,1.000000,1
squad,396,mid-direct,Thư ký Hội đồng,Thư ký Hội đồng,Thư ký Hội đồng,1,1.000000,1
squad,406,long-direct,Hoàng thái tử Akihito,Hoàng thái tử Akihito,Hoàng thái tử Akihito,1,1.000000,1
squad,436,short-direct,"tại Paris, Pháp","Paris, Pháp","Paris, Pháp",0,0.846154,0
squad,458,short-direct,15 tháng 5 năm 1935,15 tháng 5 năm 1935,15 tháng 5 năm 1935,1,1.000000,1
squad,474,short-direct,Tây Nam Á,Tây Nam Á,Tây Nam Á,1,1.000000,1
squad,493,short-direct,ít nghe tiếng tăm,ít nghe tiếng tăm,ít nghe tiếng tăm,1,1.000000,1
squad,520,mid-direct,trầm tích sông ngòi,trầm tích sông ngòi,trầm tích sông ngòi,1,1.000000,1
squad,541,mid-direct,từ những năm 1970,từ những năm 1970,từ những năm 1970,1,1.000000,1
squad,581,mid-direct,"1,1×10 −40 J.s.","1,1×10 −40 J.s","1,1×10 −40 J.s",1,1.000000,1
squad,636,short-direct,VW,VW,VW,1,1.000000,1
squad,655,mid-direct,F=ma,F=ma,F=ma,1,1.000000,1
squad,665,short-direct,"All England Club ở Wimbledon, Luân Đôn","All England Clubở Wimbledon, Luân Đôn","All England Clubở Wimbledon, Luân Đôn",0,0.986667,0
squad,682,mid-direct,Dish Network,Dish Network,Dish Network,1,1.000000,1
squad,683,long-direct,18,18 danh hiệu,18 danh hiệu,0,0.285714,0
squad,720,short-direct,Đoạn văn không nêu đặc điểm của chiến khu Dương Minh Châu,Đoạn văn không cung cấp thông tin,Đoạn văn không cung cấp thông tin,0,0.600000,0
squad,734,short-direct,Sóc Trăng,Sóc Trăng,Sóc Trăng,1,1.000000,1
squad,755,short-direct,làm xoăn,làm xoăn,làm xoăn,1,1.000000,1
squad,758,short-direct,H.265 và MPEG-H Phần 2,H.265 và MPEG-H Phần 2,H.265 và MPEG-H Phần 2,1,1.000000,1
squad,773,long-direct,"6.340,5 km²","6.340,5 km²","6.340,5 km²",1,1.000000,1
squad,774,short-direct,"xe ô tô, xe buýt, xe tải","xe ô tô, xe buýt, xe tải","xe ô tô, xe buýt, xe tải",1,1.000000,1
squad,779,long-direct,8 tháng 11 năm 2019,8 tháng 11 năm 2019,8 tháng 11 năm 2019,1,1.000000,1
squad,790,short-direct,Thủ tướng Chính phủ,Thủ tướng Chính phủ,Thủ tướng Chính phủ,1,1.000000,1
squad,799,mid-direct,Museum of Modern Art,Museum of Modern Art,Museum of Modern Art,1,1.000000,1
squad,803,mid-direct,Hệ thống tên lửa chống tên lửa đạn đạo A-35,Hệ thống tên lửa chống tên lửa đạn đạo A-35,Hệ thống tên lửa chống tên lửa đạn đạo A-35,1,1.000000,1
squad,832,short-direct,những năm 1960,những năm 1960,những năm 1960,1,1.000000,1
squad,868,long-direct,cuối thế kỷ XV,cuối thế kỷ XV,cuối thế kỷ XV,1,1.000000,1
squad,884,mid-direct,32 knot (hay 37 hải lý/giờ),32 knot,32 knot,0,0.424242,0
squad,898,long-direct,Không có thông tin,Đoạn văn không cung cấp thông tin,Đoạn văn không cung cấp thông tin,0,0.666667,0
squad,916,long-direct,Vua Bọ cạp,Kings of the Road,Kings of the Road,0,0.222222,0
