dataset,item_id,stratum,question,context_words,raw_response
squad,0,short-direct,Công ty mẹ của Fenway Sports Group được gọi là gì ban đầu?,106,New England Sports Ventures
squad,5,short-direct,BMW được thành lập vào năm nào?,190,1916
squad,24,short-direct,Có những phương pháp nào khác có thể được sử dụng để tạo năng lượng hạt nhân?,156,tổng hợp hạt nhân và phân rã phóng xạ
squad,25,short-direct,AMPAS được biết đến nhiều nhất thông qua giải thưởng nào?,215,giải Oscar
squad,38,mid-direct,Các định luật Newton là hệ thống gồm bao nhiêu định luật?,308,3 định luật
squad,58,short-direct,VGCL viết tắt cho cái gì?,142,Vietnam General Confederation of Labor
squad,68,mid-direct,In 3D sử dụng các công đoạn nào để tạo ra một vật thể ba chiều?,275,một chuỗi kết hợp các công đoạn khác nhau
squad,74,short-direct,Đường kính của viên bi ở đầu ống chứa mực khoảng bao nhiêu mm?,204,từ 0.5 đến 1.2
squad,83,long-direct,Đức là thành viên của khu vực đồng Euro từ năm nào?,642,1999
squad,90,short-infer,Dòng xe BMW G61 định vị như thế nào trên thị trường?,169,'Touring'
squad,92,short-direct,Lê Quang Tung được huấn luyện ở Trường sĩ quan trừ bị mở ra ở miền Nam Việt Nam vào thời gian nào?,147,đầu thập niên 50
squad,104,short-direct,Võ Tánh sinh năm bao nhiêu?,56,1768
squad,109,mid-direct,Tâm chấn của trận động đất là gì?,276,điểm ở mặt đất ngay phía trên chấn tiêu
squad,118,short-infer,Năng lượng hạt nhân được thiết kế như thế nào để tách năng lượng từ hạt nhân nguyên tử?,156,thông qua các lò phản ứng hạt nhân có kiểm soát
squad,133,short-direct,Billy Graham đã giới thiệu phúc âm cho khoảng bao nhiêu người trên khắp thế giới?,215,khoảng 2 tỉ người
squad,145,mid-direct,Bảo tàng Nghệ thuật Hiện đại được đặt tại địa chỉ nào?,237,"53rd Street, giữa Fifth và Sixth Avenue"
squad,151,mid-direct,Trần Thủ Độ có chức vụ gì?,324,Điện tiền chỉ huy sứ
squad,162,short-direct,Điện ly hay ion hóa là quá trình gì?,198,một nguyên tử hay phân tử tích một điện tích âm hay dương bằng cách nhận thêm hay mất đi electron để tạo thành các ion
squad,173,short-direct,Vật đen phát ra bức xạ điện từ nhiệt trong trạng thái nào?,78,trạng thái cân bằng nhiệt động lực học
squad,206,mid-infer,Tại sao vị trí của Mumbai ước tính có thể nhảy lên thứ 4 thế giới vào năm 2015?,314,"do tỷ lệ tăng dân số hàng năm là 2,2%"
squad,221,long-direct,"Pune được gọi là ""Oxford về phương Đông"" vì lí do gì?",401,do có sự hiện diện của một số cơ sở giáo dục nổi tiếng trong thành phố
squad,227,short-direct,"Bài thơ ""Nam quốc sơn hà"" được coi là gì trong sách Lịch sử Việt Nam?",174,“bản Tuyên ngôn độc lập đầu tiên”
squad,316,short-direct,Bệnh viêm khớp dạng thấp là một loại bệnh nào?,159,bệnh tự miễn khá điển hình
squad,322,mid-direct,Có bao nhiêu tàu vận tải của Hải quân Việt Nam bị mất trong xung đột?,386,ba tàu vận tải
squad,332,long-direct,William Henry Gates III sinh ngày nào?,405,28 tháng 10 năm 1955
squad,339,short-direct,Năm nào là lần đầu tiên giải thưởng MAMA được tổ chức tại Seoul?,162,1999
squad,367,mid-direct,Điều gì tạo ra sự đa dạng và phong phú của các loại khoáng vật?,301,thành phần hóa học của Trái Đất
squad,374,short-direct,Ai là đương kim vô địch của Giải quần vợt Roland-Garros?,184,Djokovic
squad,394,short-direct,Một phiên bản thể nghiệm của tác phẩm được triển lãm ở thành phố nào?,111,Düsseldorf
squad,396,mid-direct,Ai là người điều hành Hội đồng Kinh tế quốc gia trong thực tế?,379,Thư ký Hội đồng
squad,406,long-direct,Ai lên nối ngôi sau Thiên hoàng Chiêu Hòa?,553,Hoàng thái tử Akihito
squad,436,short-direct,Giải quần vợt Roland-Garros được tổ chức ở đâu?,184,"Paris, Pháp"
squad,458,short-direct,Malevich mất vào ngày nào?,68,15 tháng 5 năm 1935
squad,474,short-direct,Lựu có nguồn gốc từ đâu?,200,Tây Nam Á
squad,493,short-direct,"Tính tới hiện tại, Ma giáo còn phổ biến hay không?",87,ít nghe tiếng tăm
squad,520,mid-direct,Đồng bằng châu thổ là điển hình của quá trình trầm tích nào?,291,trầm tích sông ngòi
squad,541,mid-direct,Các bộ vi xử lý đã bám sát định luật Moore từ khi nào?,349,từ những năm 1970
squad,581,mid-direct,Sai số tuyệt đối trên giá trị của hằng số Planck h là bao nhiêu?,241,"1,1×10 −40 J.s"
squad,636,short-direct,Volkswagen viết tắt là gì trong tiếng Đức?,128,VW
squad,655,mid-direct,Định luật II được phát biểu dưới dạng phương trình nào?,308,F=ma
squad,665,short-direct,Giải đấu quần vợt lâu đời và có uy tín nhất trên thế giới Wimbledon được tổ chức tại đâu?,207,"All England Clubở Wimbledon, Luân Đôn"
squad,682,mid-direct,Ai đã mua lại 1.700 cửa hàng còn lại của Blockbuster?,307,Dish Network
squad,683,long-direct,AC Milan đã dành được bao nhiêu danh hiệu FIFA và UEFA?,404,18 danh hiệu
squad,720,short-direct,Chiến khu Dương Minh Châu có đặc điểm gì?,42,Đoạn văn không cung cấp thông tin
squad,734,short-direct,"Vùng đất nào được gọi là ""Xứ Giồng""?",182,Sóc Trăng
squad,755,short-direct,"Ý nghĩa của từ ""crêpe"" là gì?",116,làm xoăn
squad,758,short-direct,Mã hóa video HEVC còn được gọi là gì?,158,H.265 và MPEG-H Phần 2
squad,773,long-direct,Thượng Hải có diện tích bao nhiêu?,481,"6.340,5 km²"
squad,774,short-direct,Mercedes-Benz là một trong những hãng sản xuất gì?,115,"xe ô tô, xe buýt, xe tải"
squad,779,long-direct,Ngày phim Nhím Sonic ban đầu dự kiến phát hành tại Hoa Kỳ là ngày nào?,509,8 tháng 11 năm 2019
squad,790,short-direct,Ai đã đã phê duyệt điều lệ LHCHVHNTVN?,104,Thủ tướng Chính phủ
squad,799,mid-direct,MoMA được viết tắt từ cụm từ tiếng Anh nào?,237,Museum of Modern Art
squad,803,mid-direct,Tên gọi đầy đủ của hệ thống tên lửa chống tên lửa đạn đạo A-35 là gì?,396,Hệ thống tên lửa chống tên lửa đạn đạo A-35
squad,832,short-direct,Rocket M-210F được phát triển từ năm nào?,182,những năm 1960
squad,868,long-direct,Khi nào người Anh và người Pháp thành lập các thuộc địa trên vùng duyên hải Đại Tây Dương của Canada?,626,cuối thế kỷ XV
squad,884,mid-direct,Tốc độ tối đa mà tàu Liêu Ninh có thể di chuyển là bao nhiêu?,342,32 knot
squad,898,long-direct,"Ngoài lực hấp dẫn, còn có bao nhiêu lực tác động trong vũ trụ?",568,Đoạn văn không cung cấp thông tin
squad,916,long-direct,Vai diễn chính đầu tiên của Dwayne Johnson trong phim điện ảnh nào?,467,Kings of the Road
squad,939,long-direct,Các nhóm chính của sản phẩm nông nghiệp có thể được chia thành những gì?,541,"thực phẩm, sợi, nhiên liệu, và nguyên liệu"
squad,950,mid-direct,Anton Pavlovich Chekhov được coi là nhà văn chuyên viết thể loại gì?,341,truyện ngắn
squad,952,long-direct,Sản xuất là sự kết hợp của những nguyên liệu gì?,761,các loại nguyên liệu đầu vào vật chất và phi vật chất
squad,963,short-direct,Tổ chức Bác sĩ không biên giới được trao giải Nobel Hòa bình vào năm nào?,121,1999
squad,972,short-direct,Quân đội nước nào đã đánh bại đội quân lưu vong trong sự kiện Vịnh Con Lợn?,192,quân đội cách mạng Cuba
