id,domain,track,question,raw_response,answer
4,literature,mc,"Trong quá trình biên soạn và dịch thuật văn bản chữ Hán từ tập 'Thiên Nam dư hạ tập', các dịch giả (B.V.N) đã tạm thời điền thêm chữ gì vào câu thơ thứ 7 của bài 'Anh Hiền Thu' để đảm bảo ý nghĩa?",A,A
7,psychology,mc,"Dựa trên các xu hướng về kỳ vọng của giáo viên đối với nhóm học sinh nữ, nhận định nào phản ánh chính xác sự phân biệt đối xử mang tính giao thoa (intersectionality) giữa sắc tộc và giới tính?",B,B
8,psychology,mc,"Theo quan điểm của Bemporad và Ratey, vai trò của người cha trong gia đình có con gái mắc chứng chán ăn tâm thần thường mang đặc điểm vi mô nào sau đây?",C,C
9,culture,mc,"Theo các tư liệu lịch sử về dòng tộc Tây Sơn Tam Kiệt, tổ tiên 5 đời của Nguyễn Nhạc là Hồ Sỹ Anh và tổ 4 đời là Hồ Thế Viêm vốn có gốc gác từ địa phương nào trước khi bị bắt vào Đàng Trong khai hoang?",D,D
10,medicine,mc,"Bài thuốc Nhân trần chi tử thang dùng chủ trị chứng Hoàng đản có biểu hiện toàn thân, mắt, mặt đều vàng như giấy vàng, yêu cầu kỹ thuật bào chế và sử dụng vị thuốc Thạch cao như thế nào?",B,B
12,chemistry,mc,Loại Hemoglobin nào sau đây có độ nhạy cảm mạnh nhất đối với khí Carbon Monoxide ($CO$)?,C,C
13,laws,mc,Khoảng thời gian kể từ khi người lao động đã thôi tiếp xúc với yếu tố có hại đến thời điểm vẫn còn khả năng phát bệnh do yếu tố có hại đó được gọi là gì?,C,C
14,mathematics,mc,"Cho tam giác $ABC$ có hai đường cao $BD, CE$. Khẳng định nào sau đây là đúng?",C,C
17,psychology,mc,Lazarus phê phán việc sử dụng các thiết kế nghiên cứu cắt ngang (cross-sectional) hoặc đo lường bề mặt trong tâm lý học vì chúng thường bỏ lỡ khả năng phân biệt giữa hai khái niệm cốt lõi nào?,A,A
19,chemistry,mc,Phương pháp thử nghiệm nào sau đây được xem là hiệu quả nhất trong việc thực hiện sàng lọc để tìm kiếm các chất dẫn đầu?,A,A
29,dialect,mc,"Trong câu nói 'Tết ni mệ gởi cho con mấy ổ bánh tổ Quảng Nam làm quà, nhớ ăn cho hết nghe con', từ 'bánh tổ' được dùng để chỉ loại thực phẩm nào?",C,C
31,dialect,mc,"Dựa trên việc sử dụng cụm từ 'quẹo cu láp' trong câu 'Trời đất ơi, thằng nhỏ mới chạy bộ có một vòng sân mà đã mệt tới mức quẹo cu láp nằm một đống đằng kia kìa', bạn hãy xác định xem người nói đang sử dụng phương ngữ của vùng miền nào tại Việt Nam?",C,C
