dataset,item_id,gold_answer
drop,10001,"24,10%"
drop,10085,"49,92%"
drop,1039,"50,25%"
drop,1105,"Bằng nhau, mỗi quân đoàn có 3 sư đoàn"
drop,1137,5
drop,1288,"Lớn nhất: xã Đa Lộc (714,8 ha); nhỏ nhất: xã Nguyệt Hóa (187,13 ha)"
drop,138,"2,60"
drop,1435,Liverpool
drop,1467,SF-2U
drop,1495,quận Carcassonne
drop,1512,2
drop,1573,tàu phóng lôi và tuần tiễu
drop,1598,4
drop,1646,9
drop,1652,10
drop,1689,13
drop,1699,70
drop,1706,44.789
drop,1723,Năm
drop,174,"11,60% (nhóm từ 18 đến 24)"
drop,1753,2
drop,1865,2013
drop,1870,553 ca tử vong
drop,193,477.000 người
drop,1962,9
drop,1986,người da trắng
drop,200,63.664
drop,2052,49.000
drop,2166,1
drop,2183,"0,40%"
drop,2216,2
drop,2270,5 chiếc
drop,2276,Hải Dương
drop,2295,Cỡ gia đình trung bình
drop,2331,4
drop,2395,700.000 đơn vị
drop,2430,cao hơn
drop,2462,"6,01 USD"
drop,2522,"20,9%"
drop,253,5.864
drop,2531,5.068
drop,2662,40
drop,2701,"nhóm dưới 18 tuổi (27,00%)"
drop,273,4
drop,2741,17
drop,2837,255.984
drop,2989,Zulu
drop,30,13
drop,3008,"31,4%"
drop,301,thấp hơn
drop,3051,3
drop,3069,Iran
drop,3101,66%
drop,316,nhiều hơn
drop,3166,thị trấn Vân Du
drop,3174,Không
drop,3224,Mauro Tassotti
drop,3298,150
drop,3355,lớn hơn
drop,3394,31.381
drop,3411,6
drop,3415,Phần 1
drop,3493,Ba
drop,3520,44
drop,357,"4,8%"
drop,3815,"Quận Limoux, giảm 758 người"
drop,385,José Altafini
drop,3916,25-44
drop,3964,351
drop,4022,"4,8"
drop,4026,1.000 afghani
drop,4091,"9.060,05 ha"
drop,4112,Một
drop,4199,1920
drop,420,"5,12%"
drop,4229,nhiều
drop,4262,18 đến 24
drop,4365,"1,2"
drop,4402,"0,48%"
drop,4408,Không
drop,444,≈234.987
drop,4498,Nhóm 25 đến 44 tuổi
drop,4531,cao hơn
drop,4566,từ 25 đến 44
drop,4574,1
drop,4598,"0,61"
drop,4622,5
drop,4697,846
drop,4698,"9,5%"
drop,4724,4
drop,4797,48.331
drop,4857,52
drop,5039,"""Vai trò quân sự của các ống kính Frankish - đánh giá lại"" (75-116, 41 trang)"
drop,5057,"49,53%"
drop,5135,hành tinh b
drop,514,3 kênh
drop,5164,Có
drop,5179,4
drop,5218,Ngày 12 tháng 5 năm 2010
drop,5298,tăng dần
drop,5336,5
drop,5404,"$1,100"
drop,5493,tỷ lệ tăng kim ngạch xuất khẩu (202%)
drop,5511,861
drop,5556,"21,70%"
drop,5699,13.352
drop,5748,xã Thới Sơn
drop,5761,28
drop,583,"Phòng không có 4 tiểu đoàn (13, 27, 31, 615), nhiều hơn Thiết giáp chỉ có 2 tiểu đoàn (13, 43)"
drop,5868,"12,88%"
drop,5954,"2 quân đoàn (61, 69) và 7 sư đoàn"
drop,5979,4
drop,60,8
drop,6002,"Hai tổ máy có công suất bằng nhau (đều 37,5 MW)"
drop,6073,6 lần
drop,6077,"11,5 cm"
drop,6105,bọ nhảy
drop,6124,28 ngày
drop,6133,99
drop,6207,Phương diện quân Kalinin
drop,6283,5
drop,6314,khoảng 12.968 người
drop,6383,"2,57%"
drop,6454,Ba
drop,6505,"5,40%"
drop,6525,"dưới độ tuổi 18 (22,80%)"
drop,6527,Anh
drop,6579,5
drop,6593,95.000
drop,6607,32.100
drop,6643,10
drop,6755,1
drop,6827,"91,00"
drop,6890,19.425
drop,6977,8
drop,7017,500 thăng thóc
drop,7048,"89,4–99,5 kg"
drop,7054,2.880
drop,7055,Có
drop,7110,3
drop,713,1952
drop,7170,Trung tá An ninh Nhà nước Isaak Ilyich Shapiro
drop,726,nhỏ hơn
drop,7429,lớn hơn
drop,7459,"27,1%"
drop,7511,"3,15%"
drop,7531,mạnh hơn hầu hết PC chạy Windows
drop,7539,44.153
drop,7552,0
drop,7581,ngày 3 tháng 5 năm 1972
drop,7624,5
drop,7684,422 ha diện tích tự nhiên và 4.178 người
drop,7927,"Quận Ussel, 6.37%"
drop,7950,Huân chương Lenin
drop,7970,57.827
drop,8021,Pháp
drop,8024,6 người con
drop,8068,"39,32 điểm phần trăm"
drop,8087,"Cỡ gia đình trung bình (2,99 người) lớn hơn cỡ hộ trung bình (2,45 người)"
drop,8105,Ngày 19 tháng 3 năm 1973
drop,8213,76
drop,8224,Nigeria
drop,8250,2
drop,8257,1601
drop,8268,20.281
drop,8335,"96,56%"
drop,8351,350.000 USD
drop,8405,5
drop,8451,Một
drop,8492,29.963 người
drop,8704,Gent
drop,8716,5
drop,8750,"48,1"
drop,8758,tiếng Anh
drop,8786,"44,3%"
drop,8889,12.690 hộ
drop,8891,9
drop,8895,thấp hơn
drop,8915,2 (Mỹ và Brazil)
drop,9044,Số ca nhiễm mới (53.584) cao hơn số ca tử vong mới (1.052)
drop,9046,4
drop,9053,vòng chung kết (4 ngày)
drop,9060,"Nhóm từ các chủng tộc khác (1,80%)"
drop,9061,Không
drop,9062,"0,13%"
drop,9134,"6,002 triệu đồng/tháng"
drop,9209,Vào tháng 10 năm 2007
drop,9213,Bộ Tư pháp
drop,9295,"4,56"
drop,9318,Một
drop,9380,69%
drop,939,9
drop,9489,Đoạn văn không nêu riêng số căn nhà 167 (chỉ gộp 'trên 6800 căn nhà tình thương và nhà 167') nên không xác định được chênh lệch với gần 1.000 căn nhà tình nghĩa
drop,9689,lá chét đầu cùng
drop,9750,nhiều hơn
drop,980,ngành xây dựng
drop,989,19-31 cm
drop,9893,người da đen hoặc người Mỹ gốc Phi
drop,9902,"24,9%"
drop,9928,2.858
squad,0,New England Sports Ventures
squad,1025,Thành phố vườn quốc gia
squad,1028,tháng 12/1941
squad,1032,suất ăn trưa
squad,104,1768
squad,1040,Anh Quốc
squad,1072,31 tháng 7 năm 1958
squad,109,điểm ở mặt đất ngay phía trên chấn tiêu
squad,1107,sử dụng các phân tử polyme trong thiết kế vũ khí và việc sử dụng một thanh ray dùng để gắn đèn pin trên súng ngắn
squad,1114,thứ tư
squad,1140,"nhấn mạnh vai trò của văn học trong việc phát triển sự hiểu biết lẫn nhau và (hiểu biết) văn hóa thế giới, đấu tranh cho quyền tự do ngôn luận, và hành động như là một tiếng nói mạnh mẽ đại diện cho các nhà văn bị sách nhiễu, bị cầm tù và đôi khi bị giết vì quan điểm của mình"
squad,118,thông qua các lò phản ứng hạt nhân có kiểm soát
squad,1191,ba
squad,1192,một nguyên tử liên kết với 4 phối tử (nguyên tử hoặc nhóm nguyên tử) hay nhóm thế trong một cấu trúc không gian mà cấu trúc này không thể chồng khít lên hình ảnh phản chiếu qua gương của nó
squad,1234,31 tập
squad,1265,nơi mà nghệ thuật Batik đạt đến đỉnh cao
squad,1306,7 tháng 8 năm 1912
squad,1307,Việt Nam
squad,1308,Hồ Chí Minh
squad,1319,công chúa
squad,133,2 tỉ người
squad,1351,bằng cách nghiền các hạt hay đun sôi trong nước hoặc dầu
squad,1356,tiếng Hy Lạp
squad,1397,vật lý hạt
squad,1400,Imperatorskaya Akademiya Khudozhestv
squad,1415,Khổng Tử
squad,1416,1942
squad,1434,một nghìn tỷ phép tính/giây
squad,1446,"hoá lí, hoá phân tích, hoá học hữu cơ, hoá sinh, hoá dược"
squad,145,"53rd Street, giữa Fifth và Sixth Avenue"
squad,1470,8 đề cử Oscar
squad,1489,FISA
squad,1494,không thể nắm bắt
squad,1502,khiến tôi nhận ra rằng họ sợ nhất là hoa nhài
squad,151,Điện tiền chỉ huy sứ
squad,1521,Anne Hathaway
squad,1548,13 bang và ba lãnh thổ liên bang
squad,1549,50%
squad,1563,"Không quân Hoa Kỳ, Hải quân Hoa Kỳ, Không quân Ý, và Không quân Hoàng gia Anh."
squad,1570,8:00. ET/ PT
squad,1619,thứ bảy
squad,162,quá trình một nguyên tử hay phân tử tích một điện tích âm hay dương bằng cách nhận thêm hay mất đi electron để tạo thành các ion
squad,1632,2004
squad,1642,an toàn
squad,1648,Không có thông tin cụ thể
squad,1686,Kim Jong-nam
squad,1691,Tiếng Anh
squad,1697,240 cm
squad,1718,Sân bay quốc tế Galeão - Antônio Carlos Jobim
squad,1723,Nelumbo nucifera
squad,173,trạng thái cân bằng nhiệt động lực học với môi trường xung quanh
squad,1735,Thomas Newcomen vào năm 1712
squad,1747,triết lý Vệ Đà
squad,1750,10 tháng 11 năm 2015
squad,1767,"4,46 triệu km²"
squad,1774,Đoạn văn không nêu vị trí của nhà máy Dingolfing
squad,1777,Doctors Without Borders
squad,1797,"môi trường sông, biển, nước lợ"
squad,1803,Không được đề cập trong đoạn văn.
squad,1829,Robinhood và Webull
squad,1830,thứ 3
squad,1855,Những sai số trong việc đo đạc các số liệu đầu vào và sự hiểu biết chưa hoàn thiện về các hoạt động của khí quyển
squad,1861,"2,13 tỷ USD"
squad,1865,nem cuốn
squad,1877,"43,7 triệu dân"
squad,1881,thuốc chống viêm non-steroid
squad,1884,người đầu tiên
squad,1902,cơ học lượng tử
squad,1973,Thông tin không có trong đoạn văn.
squad,1982,tất cả các tầng lớp xã hội Nhật Bản
squad,1996,thịt lợn
squad,2017,Georges Braque
squad,2031,1966
squad,2041,Bombay
squad,206,"do tỷ lệ tăng dân số hàng năm là 2,2%"
squad,2061,khoai tây và pho mát
squad,2071,Assisi
squad,2090,1899
squad,2134,"bằng cách sử dụng quần áo, giày dép, lối sống, phụ kiện, cách trang điểm, kiểu tóc và tỷ lệ cơ thể"
squad,2174,Hai
squad,2196,Quyền Anh và Cờ Vua
squad,221,do có sự hiện diện của một số cơ sở giáo dục nổi tiếng trong thành phố
squad,2250,"giải quyết vấn đề "" quá tải thông tin """
squad,2251,Biểu tượng toàn cầu
